Worm ID,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
Worm_1_NoShuffle,9,133,1.45009,1.4241504733475676,1.865448693978642,1.62264715489816,"1.8142647015072713,1.4597604321072646,1.4945216880294494,1.749348147221095,1.7794279745570263,1.5880671453487696,1.8510414655028087,1.6502851574583877,1.7681024152799611,1.7740739181264054,1.5442703797110278,1.7298831567018835,1.709276609078815,1.740383160696566,1.4241504733475676,1.6627911718311157,1.5186214277377952,1.5408015488137645,1.5498448141322247,1.777860084602943,1.7642838783297838,1.4881156291673165,1.7154501237528221,1.5285920525288104,1.478913382571435,1.6401351282065917,1.6468180930780143,1.5233160689033354,1.6348073835226224,1.5630337987720306,1.6352086360541735,1.6682194147866367,1.5341090682049316,1.6365691690225939,1.68785804025671,1.5970425037878475,1.5382610378072339,1.6703327203487723,1.638880731323246,1.7440219717665528,1.851788429752358,1.6496709768557225,1.5347059490844885,1.580436355580336,1.6309074112845998,1.5983844566151375,1.5074694809794758,1.682242840486305,1.7333293379717998,1.533434846167352,1.5780640082794846,1.8255704306951224,1.4806327756492048,1.725405833711018,1.711116130370626,1.5247613345837943,1.5255881274897498,1.6918929890600958,1.4920187271506278,1.6703093088515804,1.5508668150071918,1.5592660176788355,1.654831008055841,1.6646499069332736,1.565576401323974,1.7433725712738737,1.6709373135368835,1.551554910667845,1.5884295504127932,1.6470781723429386,1.7410165377200277,1.6466500031050788,1.6122045960270341,1.646838101762099,1.5823950549837251,1.7012935189340945,1.6543031926057679,1.4963625438498422,1.6261606523738226,1.5147899542277203,1.5932508549524975,1.712780548225204,1.5964975688875203,1.614478296432672,1.5992864328536798,1.541829230942672,1.5143370401471503,1.5735868133936277,1.6862522090845382,1.5177422178028621,1.7393869911231228,1.6430407411158376,1.6073772805311843,1.5516392222474233,1.5197893222448604,1.5519808264199906,1.865448693978642,1.7321065323515796,1.6694817247238265,1.627460981772958,1.6028058024877063,1.5765841104098484,1.5277042150016087,1.5561849558450354,1.5541915103577673,1.6104873157324922,1.7191607301554805,1.637907506310243,1.635301831476373,1.6311231509822892,1.6218951978379437,1.555460569161609,1.5545852396436297,1.600599883894562,1.5921179512568766,1.6140223454664133,1.6137486668241465,1.620101120108938,1.5370489932075593,1.5089820218617713,1.5705101486732047,1.7404229855348743,1.7198381844900092,1.5157874166765328,1.5504137208741917,1.564413193977727,1.6410858869071954,1.7322562746728882,1.610728676286924,1.6093045694701413,1.6948013878018506,1.604063961951298,1.5236272694591562"
Worm_2_NoShuffle,7,135,2.59065,2.33171574970429,3.0631413284206537,2.704819747931115,"2.442832629938202,2.889290302840443,2.4406653720476936,2.4951021631454013,2.594081296014584,2.501509623231112,2.8757874932166914,2.7074147295730118,2.5679145474589653,2.532308922235469,2.868942737516883,2.7753907229619155,2.532145748557223,2.6574058248759673,2.714754263640911,2.997925343684552,2.7463382758615325,2.5395683959092796,2.8688687097069514,2.6299950466549658,2.4473987452467916,2.8529552064554933,2.660129517427806,2.941180870023764,2.4637789651057433,2.6547212617121474,2.4850263628016136,2.946593587878175,2.923071885114861,2.4466819400487734,2.9121463540135166,2.5237346836095083,2.919110283438759,2.360665549135103,2.5134937173958156,2.668356309748247,2.916333385850505,2.607398129952857,2.602858443460615,2.542599792362032,2.557592276298428,2.502042529314348,2.8480092493148863,2.795297864596501,2.825165824588709,2.629523975433769,2.881481711109116,2.926254781263128,2.6227287062941222,2.894556125852327,2.6158702799936955,2.6919786250059015,2.908531654414396,2.4837165613799894,2.551994568292571,2.9199945288370213,2.560449245635584,2.7639615189088143,2.607286930125262,2.8503420107568687,2.723123405962182,2.6632129449045565,2.9014014751775896,2.8407939914471445,2.888876267959125,2.7350079868149777,2.6346646224762655,2.8683344070501358,2.861540055140989,2.839119566257826,2.794700373555359,2.953805454979304,2.61368059017218,2.728005135546343,2.548908547676728,2.690439293647082,2.7118767337825576,2.718278496241696,2.397241555610625,2.75378258355876,2.8205910330368336,2.627189954999159,2.4783855558013244,2.6054466121064377,2.53015349668743,2.565704069204554,2.9246872184997876,2.605418387034802,2.9059719066933827,2.7663940517909555,2.793547315986858,2.882229266332631,2.706643846676782,2.824619390147162,2.519321423981654,2.775457042996339,2.698950518912557,2.5786659947607773,2.33171574970429,3.003411835462273,2.810833307451203,2.979810061102254,2.8001381244736625,2.9011545402847445,2.862731451760369,2.6131722071449555,2.86142301711206,2.6916382709228284,2.5953127249681986,2.6607759095660573,2.557030810358846,2.882292192686798,2.4310730778648493,2.63579184647582,2.8936456167499736,2.6463514157723553,2.8394234706659462,2.3600903422990274,2.7256909554001694,2.675106847707802,2.53963667299155,2.37286711139611,2.918303278070101,2.5039111993206644,2.856084301476797,2.830421924611913,2.9262773567663958,2.396880082411847,3.034602262336498,2.725626485804324,2.787611062196748,3.0631413284206537,2.6447922744160888,2.6280397227446937,2.48443045092146"
Worm_3_NoShuffle,8,136,1.56213,1.3858569193658434,2.037738547556731,1.6684139551569501,"1.9811180193866176,1.9532383631713468,1.9525434334195724,1.704827405117331,1.62263075074332,1.6039214567594064,1.6030198107374536,1.6790862912212678,1.6766479056100914,1.6265533971790094,1.626618838446989,1.6169654813722538,1.7012784204423888,1.912680692628565,1.6336107008274074,2.037738547556731,1.5595344028508984,1.7964745576470218,1.5003147863909498,1.9540166665251646,1.5573983428094624,1.97829084382161,1.975653304842019,1.6506678179103413,1.8044748089386062,1.669220023933295,1.72126922420217,1.6745333521826358,1.6257513659004692,1.6990184500358967,1.7819949411057847,1.6441691406597347,1.8555625713416357,1.6477860191152378,1.6368644971315027,1.427588217104982,1.6078782621237198,1.623012678748815,1.962485049687777,1.635216740375959,1.610969973761388,1.5374817293736598,1.7454454757330053,1.5840969332586687,1.9234838199337112,1.5506802740391663,1.5702449599148909,1.749602731544201,1.7541378375397565,1.5806814214822014,1.6651718854839157,1.7208848698735044,1.5798341617055234,1.598435058094651,1.6000149557990153,2.0107929224285916,1.7995365638348575,1.5961214180307568,1.652865062039859,1.7548761206785473,1.623332883920282,1.4779032715974905,1.6922475061151145,1.8337137936609191,1.505240286471509,1.4498697193325265,1.568029160311415,1.6756436057590955,1.4939592439628964,1.5411562075172243,1.6841785595606928,1.6687276709579992,1.4367802696615464,1.595267111952864,1.9480431943731844,1.8653313010850854,1.7692758672049458,1.4210020376374537,1.8295684805847419,1.754626524466236,1.748286039042361,1.5039319305518786,1.9881945091271647,1.6881298766717807,1.9988121008222648,1.8744165302006193,1.932088589888509,1.7778218108515706,1.6164280550995116,1.637838816997976,1.6924647242992124,1.470577429330293,1.462511186075153,1.4510358042494476,1.709096950008124,1.6722543577636249,1.5158751040148302,1.8768523004120827,1.4813618067324565,1.5196422685533952,1.5398940724426944,1.7768400810848688,1.6345195095433789,1.6512494786957428,1.6626495514812007,1.5555268478810598,1.5603522721959964,1.8971097546521154,1.7361375841504876,1.5454013951813401,1.8048806609887802,1.6333102733977494,1.6284533999655024,1.6659327432967441,1.5200695774395132,1.49483820433322,1.7856805455705862,1.4388285881779275,1.660191367680533,1.5798642807768497,1.6233657192104738,1.5570102340378702,1.5056184230831207,1.5584956231869684,1.4363821395259238,1.389509830004505,1.5704232099884008,1.4385922898961558,1.5788956731132096,1.3858569193658434,1.3883985173313766,1.4194159264338968,1.9579794036038507,1.9923972378117907,1.5013423622929292,1.8703535621418153"
Worm_4_NoShuffle,8,136,2.20069,2.1321114749685393,2.6531186315673443,2.365842869693926,"2.2484922775813145,2.439539533204771,2.5285603284474645,2.2744808122244478,2.1391558429126984,2.2228643335235674,2.2555568841230444,2.200704613596359,2.49152939913506,2.262130909988207,2.160969293283709,2.4421861079380505,2.4293113536688833,2.545460924805523,2.206857372737461,2.519733019151971,2.279933366572774,2.210752868245383,2.29004868642892,2.2134054354828203,2.2522319628563086,2.3389411600601737,2.54146886327475,2.4839568219060086,2.1604530625898053,2.6073239981234306,2.3070375919050985,2.2822585562998245,2.427092743158682,2.4958659562729557,2.5051418622538684,2.326552392508012,2.33302683600155,2.4912859739749535,2.4228228056459002,2.391137442777688,2.1321114749685393,2.328525776316185,2.2930214108234397,2.2970949980330166,2.5484979225178206,2.216295764141212,2.2828194093703083,2.3372090203443276,2.2294608687412443,2.400640604783187,2.523894413283337,2.229125564625248,2.2952710010646578,2.250910323663445,2.3577231190044463,2.3395619595597923,2.4167373487630375,2.1383554670332034,2.2140403614779025,2.3698346687585343,2.210504305705971,2.428856661471968,2.2982259186912692,2.49371918992506,2.4896905530887175,2.3304500371727235,2.4649031508752666,2.3660337488281082,2.3691043552960576,2.3536160853975345,2.3701571925865608,2.3762520007336243,2.1601609556862353,2.2332782614046645,2.2370808009035934,2.5091735268044286,2.5776993807603867,2.4071875790525077,2.404689091161751,2.167033741622704,2.4864735163310203,2.480338322674066,2.2879859806624485,2.2466737419578524,2.349414766005808,2.6531186315673443,2.1888762052531687,2.4196771943217468,2.592229767090808,2.3820894341380905,2.506597589662258,2.2861736915420106,2.24447030454829,2.3713727780689053,2.449773900878465,2.3071743335628994,2.2915678437431897,2.338771782942105,2.3377022802449527,2.2456400937131273,2.4737608194832843,2.393692640245209,2.3074939933170557,2.4584146050908986,2.3053347681526497,2.32320709848937,2.3536218388281096,2.430743327057401,2.6469940427677194,2.4722574747078436,2.241300993935076,2.298248239715581,2.414149420478989,2.376791603772634,2.328637915453125,2.618417341857808,2.3691760896978824,2.3817447113902768,2.5554929443807883,2.4089131738977887,2.3215658310449903,2.472796224456985,2.4165430852601264,2.455958245756272,2.3396903518310497,2.309481986296621,2.252536048876467,2.322670870415148,2.3759633413967522,2.4465981915494357,2.3235077328416653,2.534804356929998,2.148995445445281,2.365592411797827,2.4179111073723556,2.4966109148980937,2.4048984511606175,2.5432122342128873,2.644658070664227,2.3589007674356623"
Worm_5_NoShuffle,8,138,2.04236,1.8340581481354528,2.5106200530445864,2.15977680928634,"1.9074881274734916,2.048433638982012,2.093763176477358,1.9669382873834527,2.2554402997581833,2.0945361248162055,2.1204153100595873,1.9354382247204247,2.095563267754537,1.9613749673215783,2.4563971455659215,2.2708629162605316,2.1928779080722944,2.0438731624893025,2.38571752156482,1.9624965167163753,2.215485655827746,2.1324746469401776,2.1104232801364993,2.069054643044509,2.18093530780069,2.1073213680382104,2.151066614850023,2.4055771993320643,2.0498120018082244,1.9922221422351196,2.174185570663286,2.3717738739335608,2.0409600433542585,2.144471751164782,1.9403381742501835,1.9168596569740008,2.0225783061376346,2.0667878502089296,2.4553669771859865,2.4348272780870897,2.297478885818521,2.072854124046067,2.470438507829962,2.319173258850534,2.0034140710134025,2.4459576290465774,2.189198398313848,2.107614983530135,1.9530675728742068,2.15805285292026,2.103778654397093,2.045023851995282,2.0963347838227433,2.3002408778174632,2.0808906166630696,1.8340581481354528,2.3679861320113416,1.9302018599527981,2.4299220158407797,2.083149994121794,2.0997381029223097,2.16064463713459,2.3002773278504955,2.0579321392160432,2.4510479243753,1.853267748602489,2.055357972989738,2.190719435744973,2.0997928172472418,2.4150722743187587,2.4540916033370057,2.113718813057727,2.1496004842028835,1.9785417956825662,1.9724781179495927,2.438407127751375,2.157464765233187,2.1618049600103286,1.9593264138325033,2.1956695887429962,2.285583923527123,2.212938379702288,2.0850784533696047,2.0843762609555028,2.134185261541342,2.062605311311797,2.189536359723651,2.3925172628338114,1.9570284523085386,2.161739626445288,2.0704347348638907,2.157474139934353,2.3070697681287324,2.0726751170908964,2.110580698364623,2.1757692957376307,2.3135977528661917,2.080708015490891,2.149912310393496,2.2734241112497027,2.1847258397677964,2.1099164168798974,2.1946346425014887,2.2218600305338847,2.0412929629471313,2.1371931525717347,1.86470601970257,2.2891745639333463,2.2183698428544654,2.287112067232887,2.1820351660634203,2.096591819571812,2.332750654043853,1.942951427309213,2.4107099445533224,2.2223469613741154,1.8370209945116882,2.2290863657235516,2.0702040013964207,2.125417861139793,2.2074364546348146,1.9048249203808594,2.5106200530445864,2.445031830303515,2.418464247734268,2.167054628336116,2.4311492948650875,2.186861220272816,2.0076659936103254,2.268989358924326,2.0774407477246304,2.109613649028696,2.3197947776345837,2.0694652847478423,2.0309027379488658,1.9327393462262732,2.2537132246617233,2.0735596007840753,2.35542483693295,2.3766754642490944,1.9933000035136998,2.3052058289115953"
Worm_6_NoShuffle,9,137,1.62805,1.591943861214969,2.0474025140823513,1.7808701279592425,"1.8986522601456406,1.819306848913003,1.6982576000756746,1.917181286350946,1.9036399049475117,1.696745419585265,1.7552004969083197,1.8560657298130259,1.8536629164100675,1.8635559549129748,2.0474025140823513,1.7192718217862388,1.742924945534186,1.73509685313031,1.7222552594717748,1.978220339952775,1.6848203470047105,1.8910846018112537,1.5954067309728432,1.8381251957132667,1.7752085716883175,1.7178377285776685,1.8946297876590976,1.8643058783446282,1.826298001003805,1.8882823187479554,1.7300369145154495,1.7633126898300255,1.8895700389665935,1.8230726098620706,2.0179344538693087,1.8875572125384155,1.7839951105836453,1.705466448994777,1.658058837675741,1.7169806729031833,1.8410721571571822,1.7012142491341176,1.594733826362075,1.6591573063464344,1.8977939160868336,1.84167736966525,1.727944381660476,1.6567769685107017,1.8839607408996086,1.7733540155531093,1.8775793146250925,1.7404917699192637,1.855988831079831,1.6517233028406522,1.746233782464912,1.8124047038720352,1.6795422967132336,1.711762096449641,1.732782009854834,1.7009122073982201,1.605659354436841,1.8321314392835195,1.7727525109934412,1.6859721514889716,1.6668379029215536,1.591943861214969,1.9808142991568563,1.66796909443785,1.7198455856597743,1.6784134693377863,1.606453927100921,1.7592901618870065,1.638380112422443,1.7659097029988822,1.634345119840734,1.8251236908896749,1.6799671859087832,1.7259905653270262,1.7686506762735485,1.7516977464524948,1.7357156084000187,1.742946609749353,1.639655350355573,1.673215637319344,1.9624993834521516,1.7610556722694033,1.8186405526530325,1.6257718345235728,1.9114660685136782,1.9943655669860185,1.6395343587738211,1.7944220047011497,1.9882977777286532,1.8406945176804859,1.672012909147563,1.8074807493494516,1.8014898414963076,1.6806234524360177,1.6581616271707627,1.788873929306425,1.7468919983969762,1.8464761278752626,1.9994716598173174,1.8323548357355337,1.7498895046461898,1.9236510028220721,1.7208035439641363,1.8524704883851602,1.7955290921185487,1.8943651239089387,1.7216312601759565,1.8626877219497677,1.8455144233457539,1.980862113325876,1.8931208379783457,1.9388584750431157,1.8751768064134984,1.7078383705316127,1.751769288545013,1.6107245154325731,1.650643906249659,1.720929226488572,1.6805617058512428,1.886313334621011,1.900626589996915,1.7000584122390106,1.7160113675991624,1.7506418686610166,1.763408087179913,1.749591975853198,1.6703171127493495,1.873334763131826,1.9001280356107069,1.8328835503649765,1.8277118605920322,1.6524355751169368,1.8791755480758872,1.7037964975462907,1.8980515002270664,1.6896369412584087,1.8412609206691772"
Worm_7_NoShuffle,9,133,1.33151,1.2513199649989197,1.7842094104529844,1.4715065340847036,"1.4194775757941818,1.4647555531645418,1.7076359409616286,1.5614416293189175,1.3761670820600245,1.2805069832814622,1.6963812214099367,1.7353152838694201,1.3865236646558177,1.368146047509709,1.6574616432067777,1.4664144404634285,1.6856613042966682,1.5910346612627404,1.510046268215294,1.3271058192800649,1.5850001772164106,1.484219482928703,1.4649801700565122,1.4214942349159658,1.7842094104529844,1.3558649800851765,1.3788658255179262,1.5080142864427757,1.4332665694236004,1.6532228162363316,1.4048188408116868,1.3414243471939176,1.678328365330351,1.459156197400444,1.717737593664642,1.4031145764033508,1.378403155867877,1.7409803562378154,1.7005458509428106,1.429906550650732,1.314633832505603,1.6578136784051316,1.3630461704977652,1.3442656196662675,1.658027207852939,1.4101249486942335,1.4767089185543822,1.445494553298897,1.3308809107946953,1.337113976983001,1.4153788781704633,1.4989992892854418,1.4650680483417355,1.757571109200717,1.4965134222242817,1.383131363809771,1.48294733161944,1.3749037505693158,1.2513199649989197,1.4627314701579628,1.449710815806958,1.3302272804228095,1.3496759456829046,1.588425287653672,1.5834071306922375,1.7783262039980199,1.2752326324218364,1.3776171363465446,1.5297017692825137,1.708396699341592,1.3511593180928623,1.3023729736524576,1.555120262776059,1.2770306496875243,1.3647312058409753,1.3059122518431747,1.5131482215006098,1.5145635254347731,1.5074322173618837,1.3840782466066985,1.3263351212631649,1.6581853462100982,1.3766417122151968,1.712646310242429,1.2754931855175757,1.3818511887115954,1.7592227375162248,1.340081753230734,1.6273261268442651,1.3635169931640745,1.4217504798879246,1.3009802400645303,1.3765392569127024,1.4895610766271623,1.7498285726713871,1.3653540681186016,1.3433811659417931,1.2894049080186545,1.7697988828558402,1.308230685953127,1.3772130862067233,1.614478296432672,1.40375275243754,1.4136017156763292,1.3358551119472624,1.7083479993427468,1.4822483197951213,1.3910177012330922,1.7461690150359863,1.736006646434947,1.4821716828112264,1.3367359441612152,1.3587588306197675,1.3200527330585006,1.3573875107039155,1.3607980690973256,1.4691400697670787,1.3400873750883762,1.4323707884791046,1.4490550405849778,1.3457526149428638,1.3511260115120165,1.433382904343943,1.4490351611103944,1.6611533540019947,1.4148264787686744,1.5679594215694714,1.350504055650069,1.563428123693154,1.4854421175079702,1.3780156174948517,1.4640373790504606,1.4076502851627026,1.4472591380759494,1.4565873473443731,1.5268930217961825,1.5253643737518479"
