Worm ID,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
Worm_1_NoShuffle,9,103,1.25324,1.2611296476419351,1.675756110119867,1.4163990324217506,"1.5953601936512947,1.564789430102828,1.3830831900491356,1.4435614833684836,1.6140430753932442,1.4703444999558468,1.553934831469329,1.4081135098082211,1.5074555073023888,1.4741656479545078,1.5783097078804385,1.364086022741462,1.454727480965984,1.6481976817166473,1.4476723654410761,1.317944603622467,1.4471645170226288,1.3916911637776583,1.353924885253821,1.504665777091225,1.5065887183388977,1.4085088810455764,1.358169811599428,1.5389946905976442,1.3639930335224308,1.4038207277130375,1.4484684104821346,1.4203196891245962,1.3553955510152802,1.3372831922421118,1.407764812640878,1.5273351661807253,1.5180138970578938,1.3855847424962329,1.4350049544354537,1.365364991582061,1.4210328079446595,1.4108151670790072,1.4334031349559098,1.403041313680213,1.404353891314095,1.4293173706761753,1.4578776128709434,1.3662711654606259,1.5363002352076602,1.4104260121833134,1.397292264852141,1.3118448223187933,1.4332868026731629,1.3402672553920187,1.3058713167495988,1.5235174461299827,1.4116292460610904,1.4038207277130375,1.34618817131698,1.379349754546167,1.3159585044764917,1.415791662836107,1.4072024448933116,1.3859262843559153,1.2777983470142438,1.3181637192235356,1.2993908345223646,1.3647749299010643,1.3153860784302533,1.4361603191719743,1.451997302204685,1.3732327208285584,1.3163283563567512,1.4300893204746634,1.675756110119867,1.3569299265251058,1.2797718537026106,1.2975446240837598,1.4972014856388018,1.280669590664339,1.2871367684676642,1.3000681619712102,1.5977263843718839,1.482779809651826,1.3566155434245493,1.5198858132979813,1.2972611488268495,1.3747578647612928,1.4203966719108005,1.4115463167513251,1.4025283049182176,1.4789037678049683,1.4230254824909139,1.2994556453992743,1.3745633127121806,1.3331732558678229,1.494790970127694,1.4007566652276924,1.2611296476419351,1.361676062868206,1.3522133708406192,1.5466202494786054,1.4318845647331067,1.4385017761283012,1.473198576440512,1.4946256309743604,1.3480507931574508"
Worm_2_NoShuffle,6,103,3.0056,2.690260685401116,3.448494575937771,3.0857163821253057,"2.8162821125527713,3.300519809807137,3.0828256249352752,3.2002330142826243,3.021950252112199,3.1099711587128764,3.1809019304633663,2.874852824021425,3.2562744296266977,3.014983442571734,3.042237544749888,3.2958725796505517,3.0742372669888307,3.356141801577872,3.3180032518154117,2.877555978539396,3.3379981244068717,3.013418768831243,3.2874181890656944,2.690260685401116,3.0675441872960634,2.8671736730520494,2.9840194918428744,2.9626053828833494,3.004416075486584,3.1515221684910997,3.242269051927868,2.9871489917983274,3.3468751482112173,2.9441406566477126,3.304358867105769,3.005349805052805,2.8672375600821813,2.9359429561152086,3.178434974841813,2.869250178625024,3.1701056958396983,3.036365014084383,3.402999979310743,3.2982950975114966,3.050393725946518,2.996113153027565,3.25807105621438,3.182191316320516,3.3690176765613464,2.954865190426048,2.831276317313717,3.1788771423286613,3.1136202022521973,3.1333278470055244,2.7353051080195927,3.1431195047089893,3.134898204343409,2.9379966006933893,2.7494388353507255,2.865759120566478,2.9082098567383583,3.0622509138790246,3.2474993825797758,3.290666894581565,3.120736964036115,3.142245906757529,3.2446690427538964,3.0702454245984194,3.1330396794556186,3.0035610441164167,3.1827149128219303,3.1766225421111245,2.927674964331331,2.7706354282914267,3.427746481047162,3.245004737007791,3.378914811476334,3.132323265641677,3.327145469656173,3.1865545147386505,2.872755106913703,3.2139276662246825,3.1046296765908883,3.0381918964366155,2.956701896906502,3.276103619265636,2.8907196846039693,3.035739257493539,3.276754068239706,3.072800190988648,2.725872500307977,3.0034018874231303,3.062007082621555,2.9081605927981,2.778925776479555,3.3397528880783782,2.790930473559426,3.1862813388774844,3.281784474611215,2.8086804775980543,3.4451281174431836,3.0153865132587088,3.170526340773433,3.448494575937771,2.9451115849930893,2.8927042508726,2.896588435590256"
Worm_3_NoShuffle,8,118,1.401,1.279952681779849,1.8120658250307329,1.5222278771411928,"1.616514891281228,1.480666362400498,1.5407835877432046,1.4828994713747787,1.6098711440886437,1.4640813653951001,1.479951174124336,1.588442338571639,1.4892712216517878,1.6615670175976538,1.5197479657995252,1.6392802250605758,1.5071247340527885,1.5846021743212164,1.4796486083283882,1.7853906437581168,1.5972409658693745,1.6318473431651315,1.5383916081643638,1.578615662842703,1.5471733314572986,1.64249411863382,1.5570675786529455,1.5892433754410153,1.5855904448213953,1.5283053074091626,1.2858627907248048,1.4808726535707182,1.5946957227143757,1.4289718082018876,1.4644380639747094,1.5790464125213486,1.3540078833234575,1.646658008079635,1.4852368688250444,1.5523976767253165,1.5105431083905032,1.6830052926290648,1.4863198641195818,1.553208659643178,1.605525464311081,1.548452165415079,1.4827989565943112,1.589273187817972,1.786097986019601,1.5641549891055422,1.5494935151571978,1.5035998683344198,1.4218580807785894,1.4833923103148088,1.648137742204659,1.4868918480516877,1.3330032397172156,1.5594992092787128,1.5270343490320526,1.4692518388271518,1.521891424844859,1.5755817757839723,1.3230505669108992,1.608754326038384,1.5962186402754281,1.6533181940993695,1.30026242723191,1.640489762354236,1.5479043129386687,1.6338866834203698,1.4516405779974215,1.789300275097684,1.5589667414186459,1.6179774745051363,1.6520934342379296,1.6936908691406156,1.5962904936004494,1.56856509980854,1.5023500364611007,1.3993388991552889,1.3633965742096381,1.3679609175739889,1.5209511284194466,1.4655853795625366,1.6337121745713543,1.4399740001968486,1.5080142864427757,1.3958056210247594,1.530110749767176,1.5759145685462514,1.47745075957113,1.6091670393607924,1.4724725904098257,1.5369858686844362,1.6479858781227616,1.5119114936683622,1.4093562545987033,1.615617190328047,1.514031888982062,1.4242833329432227,1.6315951607054575,1.4400543248854845,1.3677539614530065,1.53577212636281,1.3009037802621994,1.6793529655651416,1.483908784466627,1.4859383400392767,1.4805176115734149,1.502026765533929,1.3706143451518558,1.380349032826308,1.2927246762226892,1.4765932519288487,1.371466308572446,1.4851795817905464,1.279952681779849,1.2972906818542522,1.2862876601421336,1.6511738037241264,1.3695658940740978,1.8120658250307329"
Worm_4_NoShuffle,8,110,1.95548,1.8464761278752626,2.4729185493126264,2.113038141089641,"1.9725206740836014,2.185518616248265,2.0438020223240256,1.8614109692899061,1.9140505818448268,2.027400953365905,1.8464761278752626,2.251523479848383,2.166002773992062,2.0482553041367635,1.9066467957986892,1.9288459809057155,2.107790123598074,1.923525618390486,2.351631059084707,2.0147736000999337,2.179263709790539,2.300044429300481,2.0553709910470945,2.026288106390418,2.3912112789644655,2.1653311294718267,2.194314240535712,1.879769541374099,2.0443788972313865,2.0529387838564293,1.9235047193900132,1.9879376851423662,2.1734964916317088,1.9217625292987008,2.169402686655589,2.046864213388526,1.9453037075449244,2.1723615607719933,2.0283813410834237,2.2170412644117707,1.8505356439972576,1.9787616772332135,2.12912158018069,1.9323637362266215,2.1601282342557497,2.037274424480684,2.3230151981351264,2.3083077504525256,2.205158235684718,2.145169804791536,2.1733397099710556,2.064157175955482,2.214024880389279,2.16910167272022,1.857746337957876,1.9303856608981516,2.022586386397987,2.2594956202809415,2.4729185493126264,2.105275934201289,2.188926129456824,1.9043529179081546,2.2675331540225714,1.9873260567221696,2.011564219503394,2.154770488387806,2.461653907553427,1.9285787326086203,2.3543752469704002,2.1759417847125357,2.0952135114912465,1.9784769492240024,2.1730514425673513,2.1787456197123802,2.0127893953340603,2.137456349508121,2.043477873103662,2.2543479714778605,2.135058628089347,2.09990472330453,2.2486374436764356,2.000772895732037,2.089798716178905,2.0654643883721224,2.285061672193932,2.4094949477357503,1.9545544557200045,2.0942385250682323,2.181568849642099,2.104593164085863,2.126565298368615,2.3897335008443905,2.1508637075277925,2.206286863925466,2.1315724797853752,2.0133306996237548,2.274447547693223,2.1383004916836366,2.1972233273354185,2.107940570822864,2.066455867298578,1.9327659586761294,2.0511361046193275,2.1798342071912713,2.2350504363271213,2.1455684678360134,1.8742625161886934,2.1157441119780973,2.1245139666146926,2.201303041160699,2.129454513187858,2.3475080642122115,2.427614068131903,2.124979347072404"
Worm_5_NoShuffle,6,110,2.61775,2.2010789539708475,3.107590747386004,2.690184761993593,"2.528247168436166,2.812172691069892,2.436043171600131,2.52416702343145,2.7999647918883355,2.7232342020619815,2.7798729782545504,2.6931567084736665,2.6185932653183954,2.7163014758515676,2.717196267447778,2.973924074716942,2.579267170185513,2.528595653086227,2.693681361698981,2.9820730269434317,2.7022160995432474,2.27876248838328,2.435642745489286,2.5510171938535744,3.012226391693602,3.0844592511441338,2.567808075927766,2.7505198206581274,2.386465276507532,2.6032694327454324,2.582457649903832,2.6338537267496123,2.8939033088276105,2.983262478148408,2.296410126358754,2.985758643008655,2.63736809415486,2.6559896438638035,2.6997976345424792,3.034486562923238,2.2568426296133093,2.627355608017574,2.7572729954291693,2.647370021201963,2.951381799131837,3.0081952510952936,2.631511097802141,2.6739999644326877,2.3278920477453333,2.443490980368002,2.689661908423793,2.6927337934748348,2.489518507411833,2.7745895271245797,2.8737234856353657,2.8034707157883623,2.626010692614834,2.637668663667973,2.7609632302437044,2.62087889094866,2.692611372813999,2.949022622068296,2.43986459542508,2.584931361212219,2.5326080039651324,2.646274443549508,2.897752949806599,2.557423870014762,2.5979057204472245,2.6477273531831886,2.867994764759695,2.5561677143259924,2.694648387661099,2.949263203657108,2.723824905565951,2.66229888270278,2.788626573774204,2.7507789792989668,2.7164276452373137,2.2010789539708475,2.7301449814486967,2.836173095915702,2.6139133276743154,2.6912405892761977,2.914477077034881,2.2923908438815896,3.0361725154901382,2.798899719198437,2.2924439169333457,2.8099683849802832,2.577480883622157,2.6736824943544213,2.7742012151989095,2.375331368897922,3.107590747386004,3.0876179385747005,2.970095521893259,2.7389376361424036,2.9811131161589097,2.7607854572861186,2.4295173169605775,2.781279648328717,2.58339684007732,2.612548528616193,2.8697589554356377,2.572462040026616,2.542446226725899,2.3091409003011965,2.8139810065719035,2.4817452242154077,2.9467062815020983,2.940336473077285,2.4960120058566675,2.844401751747877"
Worm_6_NoShuffle,7,110,1.85886,1.6483575015030876,2.322506579548704,1.975680685798444,"2.161587942340557,2.1017431078218975,1.8887654172739183,2.1870772295859293,2.292486781530382,1.82370928374417,1.8631267078090679,1.8818300190990294,2.252587075029243,1.8725635698842704,1.788505879587952,1.8883814358017268,2.0972104225541286,1.913730915225262,2.1462040923826993,2.0438837013279505,2.1681748921993167,1.8807753603892308,2.2096649395878383,2.0675234687491506,2.322506579548704,1.718964436105968,1.791518295629049,1.675434078696446,1.9033502821211952,2.2248720343321855,1.8958475271321773,1.7922553392388523,2.149749322802556,1.9134413137002335,2.1075360368317457,1.7112244447810152,1.9047944756351842,2.1301079847834776,1.926827899179669,2.0472371169737515,1.8839234007647538,1.7412010416276726,2.1067486857604893,1.8732812718896403,1.959717498912435,1.9439222588495886,1.6483575015030876,2.2075878501648245,1.762545627065177,1.8766391050286264,1.860445104947376,1.767532729881952,2.001249392275804,1.9015984823167553,1.9282727903269459,1.788003449704199,2.1012143080214405,1.8610731874951618,1.903889824682932,2.0299917302881445,2.0471163329633946,1.8342810920921262,2.0063658154052035,1.7201896755667496,1.8409745061524598,2.2306726647596236,1.9750564558896393,2.109891805132716,1.7656700611953788,2.226652957334661,1.7664099352229583,2.0362817794360537,2.193935037464255,2.0578490408280667,1.9251722203627528,1.9980747372291032,2.0278082297393105,1.872620250206686,1.8147466999501791,2.09164630004372,2.128228370593402,2.1955095707872347,2.158055195188826,2.0236308639354723,2.169914196994505,2.0125363198287287,2.132707871302573,2.0668676120906833,1.9020748988182907,2.0727441665491373,2.0529831553261957,1.8921711343842789,1.9875551137676641,1.7476826872823552,1.8157935329244776,1.8727902709678264,1.8333824396548462,2.0285821174233534,2.124627908473315,1.9263309004247657,1.9289112969369013,1.9323223213952774,1.9282609071034529,1.9778141370861908,1.811542170050767,2.089466983489799,2.033521437835892,1.9284450805156914,1.8299275137813968,2.1486502157648437,1.948997263795038,2.179836497672451,1.8868253508744284,2.1223756869108383"
Worm_7_NoShuffle,7,104,1.58984,1.3460485935738362,2.0229687747292173,1.7057214508285996,"1.7242868410866918,1.8495167416377698,1.9139179029970554,1.611306852670996,1.791820038717439,1.5458078607480141,1.783531780283538,1.654378613166098,1.7563082369790257,1.681128848955303,2.007187184471541,1.7727839945744617,1.60199547817835,1.8317469429844262,1.763287955608106,1.8815243504020673,1.6446024668441799,2.0229687747292173,1.7317923611290857,1.5967257204001684,1.7201970739632508,1.9415431469263058,1.8922297473199663,1.5269659676266918,1.5655676609116067,1.8532034781683184,1.7115231782455596,1.7846585911995456,1.4110330193218608,1.4881299047604102,1.7736755932838608,1.7910071701519406,1.9135288067291738,1.8062761409922399,1.8327325190628827,1.852959210941216,1.6141259904489078,1.5141058744430893,1.695754924136794,1.7673181295218268,1.6635146727889234,1.63800043081014,1.8606077447227993,1.9694148104869573,1.3641133706361595,1.7881135941690236,1.7621459416073428,1.645027571830044,1.3616486388680855,1.8427209442169352,1.3633363585327232,1.5774386864890424,1.631993740190933,1.781748953324427,1.9183526668617439,1.6323555669018428,1.431413282615908,1.9485727036172378,1.800121271140524,1.9675458965518957,1.3621037662473312,1.7958636969310517,1.612408129377741,1.8185605656467392,1.544060115693826,1.816044199980242,1.3460485935738362,1.4889479949463458,1.8684294319397767,1.5897670809036417,1.6144368556427748,1.3676994912088398,1.9693237281624805,1.5717741751563261,1.7210659795151353,1.7715763718859892,1.6414844321676938,1.686505339554577,1.9516189770018408,2.0134149960784087,1.643048777279597,1.7020481330272337,1.5184833882565911,1.4652340172149942,1.756422142791207,1.577788056675661,1.4497704079328662,1.6116602354639507,1.8202322241654434,1.458605645863792,1.799679374525798,1.7235093866359668,1.7502729271579172,1.9452686847886695,1.4261616847893293,1.7028548966864112,1.875148542522777,1.511828058075703,1.7183753072947683,1.5511465550890244,1.80706588912021,1.727243385354208,1.830404916495033,1.9003024062709626"
