Worm ID,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
Worm_1_NoShuffle,4,29,2.63013,2.4034392868447827,3.034563697359662,2.707979091109263,"2.6858863370198445,2.717502753596069,2.7556174108539335,2.6814306825211043,2.861780972382758,2.8954436242904222,2.7397707329247187,2.9747312294926815,2.712999431223155,2.8054309205149073,2.7386000457085977,2.6950840558000277,2.7423059410066006,2.9165820070376642,2.9623742276072758,2.4927056629890405,2.640510211563948,2.5707387953392695,2.5172332584142474,2.4034392868447827,2.682089448384717,2.545801810954663,2.593854365595929,2.479476341488658,2.5695857268239513,2.5014634134782447,2.8432115286717994,2.7711797222799675,3.034563697359662"
Worm_2_NoShuffle,4,32,2.42692,2.227606546325682,2.772791995533973,2.451704065798263,"2.612579500657069,2.53858817903095,2.6730361491660894,2.7489454529902666,2.675070848440878,2.685568543965599,2.7308362969708693,2.491686093139294,2.772791995533973,2.503117364569367,2.6067782168740172,2.275532220411366,2.316894299401264,2.2730285951976765,2.227606546325682,2.260744578231649,2.304498376039029,2.2622761714887742,2.2326687401644474,2.33419925394734,2.311882280919575,2.2422726334189855,2.3572894957374055,2.339756486750738,2.2293062947753763,2.3344280937011392,2.356783041253137,2.709335973904418,2.6315154384532393,2.4352580419802847,2.5254951223289352,2.4547597797756033"
Worm_3_NoShuffle,3,18,2.83967,2.664112164137197,3.220189061995068,2.9167771118889934,"2.766675607655948,2.979241475911323,2.824964666924783,2.9127164700372994,2.8300264304163236,2.922886368699025,3.0460476323720185,2.7326839842010258,2.8120545118800098,2.664112164137197,2.8399547865804315,2.937165444070082,2.9935243117966945,2.9326147369362308,3.0120390290717753,2.880836000412381,3.220189061995068,3.1942553309042583"
Worm_4_NoShuffle,3,26,3.23396,3.04026470888222,3.544879973520476,3.284977534913276,"3.2672273422895253,3.3267716055659067,3.122053572872616,3.3619620730839985,3.1567977701578016,3.483031893935115,3.2485188301053607,3.328302122577385,3.3495215177758935,3.265638313310948,3.363564336229366,3.2056392879128253,3.215641416372147,3.191277704112466,3.2459253642238712,3.2244212685873412,3.1835952643632988,3.16661591683463,3.223735753282719,3.2883453358045838,3.2336535647487614,3.04026470888222,3.454883762752832,3.4202970587157053,3.49685014972737,3.544879973520476"
Worm_5_NoShuffle,4,25,2.02511,1.6365287057891973,2.447661966079575,1.9563459244176793,"2.2179470090005124,2.3580610977643,2.0064123783526133,2.181529979869732,2.331492161114501,2.447661966079575,1.6365287057891973,1.806434818455291,1.7696900914000593,1.8611496768799345,1.7366429780834018,1.7279884058419959,1.8406880053396266,1.780923907111549,1.8519203754401548,1.9770153357186564,1.9220017824437978,1.6386102691918107,1.801866445468319,1.782801747183325,1.9502698192270262,1.8253520508324592,2.081468626879469,2.293845229738849,2.0803452472358277"
Worm_6_NoShuffle,3,26,3.04286,2.607212789961487,3.4954058507492656,3.077668135001564,"3.084129070957506,3.0346311850886183,2.82148976060559,2.89840324405426,2.9603028366240007,3.1487921909164998,2.792620460988905,3.101181965810026,2.607212789961487,3.008224951507196,2.9993047998568394,3.126107326700282,2.9692444435389076,3.1377099319365374,2.967938109556871,3.0582012118243984,3.1685140518707136,3.1795525289186948,3.1339650125615113,3.1948957557173325,3.1731639396678064,3.125086630168299,3.1701477683245,3.2373572844727425,3.425788407661889,3.4954058507492656"
Worm_7_NoShuffle,4,28,2.54574,2.3643336073968984,2.9369421250620036,2.583455271502459,"2.7421092636128046,2.6690572590255366,2.7917235135442704,2.5433324624329616,2.7948034572304215,2.692015376252927,2.7715629372738593,2.9183347039583163,2.7065928802446395,2.434118932788615,2.3788947249811576,2.3698610781970118,2.36880981180992,2.3643336073968984,2.3821527754419214,2.452563134809643,2.442061660699908,2.477677419083453,2.429307802199799,2.5078937772682934,2.433549767739503,2.44186531759381,2.457966254262192,2.470607103287224,2.614884930707444,2.8879862346397305,2.8557392905245824,2.9369421250620036"
