Filename,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
IAA_10e-4_Worm3_Buffer_batch_0,5,62,2.63171,1.9564343506949362,3.2057204839719744,2.6164442270463173,"2.6317208741648987,3.0558446259946734,2.9027574208714872,2.6557002342298732,3.011506332101178,2.9256794704992615,3.1076624217425115,2.2456272464889553,3.0039091106610227,2.2944524545752327,2.483054281847835,3.066639031980343,2.735875643824739,2.771502637841704,2.499381731396094,3.2057204839719744,2.5130648318904485,2.601294826484191,2.794940885478919,2.9437266685685097,2.7378127539316695,2.615633591591136,2.5212434309232683,2.934366080027652,2.7533949958840265,3.0098076905219955,2.427416602071001,2.3415326811832187,2.824264463376646,2.366321552872156,2.6318814315453665,2.1945466552605515,3.1213292115291433,2.2516192507895783,2.6305918979042353,2.1852453178559714,2.844631689326659,2.4957414651267253,2.3126084238028977,2.641414520761908,2.153535860404471,2.3993655067945974,2.45170775255761,2.649225035250928,3.021442374206649,2.629777657030445,2.5410805007702404,3.1025606816319744,2.9052903152892644,2.5219711000516196,2.5455840361525763,2.3107569978962705,2.8729025791060754,2.5129930609804334,2.120629538684405,1.9564343506949362,2.2705122886943507,2.201549477647673,2.4354292359528698,2.208780381868818,2.7484942558784753,2.3680541684273204"
Diacetyl_10e-5_Worm3_Buffer_batch_0,3,24,4.48314,4.081690183688435,4.91854551834966,4.527254050553033,"4.539052995203238,4.828904000828224,4.410084868095997,4.632743250617025,4.91854551834966,4.827612646710186,4.54941459886737,4.644348438692848,4.1590889717987505,4.369388876368434,4.741434487266178,4.738005970957708,4.73173401359212,4.725300082922318,4.4348626901540005,4.220614598027615,4.829896585159555,4.629984206689532,4.341920379821432,4.827960052123217,4.192866201965568,4.081690183688435,4.178352877594684,4.100290717778684"
IAA_10e-6_Worm2_Buffer_batch_0,5,48,2.2984,1.8619747343713318,2.7390856203293072,2.3495157430734515,"2.6300066394270836,2.662985910048244,2.2586677293736312,2.479658584273837,2.0563182355140666,2.108657957379334,2.3391085615945713,2.6920112928483486,2.607869478405292,2.278820444613495,2.7390856203293072,2.566121519176002,2.6932545923292697,2.3531864006726724,2.5278744588899125,2.5467244539553993,2.5814064621789057,2.5665372477545536,2.118158172299057,2.461516427840218,2.3456517902625738,2.0041967792472972,2.2719953364677923,2.164621797812423,2.296227141932997,2.720725067325868,2.129157774074944,2.2940449626576105,2.2586719550852683,2.3746070075920813,2.192597621858735,2.2471249516122507,2.3287107006653005,2.1892233524894738,2.7087044494099217,2.3177937885158166,2.1672124245864626,2.6904651959865977,2.408512437990406,2.2434107166085617,2.1761050461501212,2.174109542380035,2.0627422646454843,2.3353644115591434,1.8924117329973924,2.025257244356517,1.8619747343713318,2.6271652499800515"
Benzaldehyde_10e-6_Worm1_Buffer_batch_0,4,53,3.52619,2.903078787444345,4.071347914922964,3.5745269116629,"3.4973957691093323,3.9280128291652434,2.903078787444345,4.071347914922964,3.957124125504126,3.913570426044664,3.78104380732303,3.958232760667787,4.057315791730953,3.171955206806347,2.989349942889545,3.382899359895315,3.5404084047636335,3.6751418790132155,3.896939743770695,3.604039892655245,3.3447374482748713,3.9032813966850086,3.3698582506497505,3.7086401483811,3.5505735913051826,3.8677010101747373,3.2244850134931435,3.841594975732051,3.8325022953639687,3.560050206288858,3.5189498825003915,3.453453399638088,3.4146765599259923,3.3005271926127744,3.2184189894310973,3.9470868044913714,3.8772139709586133,3.529851211062195,3.7670221854281,3.54260035419708,3.7792264204024018,3.8927506981269158,3.2240466849213103,3.2275161544549076,3.9657579968232657,3.829946831648044,3.1253947091374683,3.4597921393420767,3.856299996524383,3.329615200773767,3.2325476639809465,3.725758610294908,3.157437150820651,3.5880184373873156,3.3388865485119776,3.255471455667144,3.3603780910154026"
Benzaldehyde_10e-3_Worm1_Buffer_batch_0,5,61,3.86207,3.4844757770921837,4.452612675290263,3.9832473265478616,"4.20872231983748,3.4844757770921837,3.6536123823952824,4.452612675290263,4.208775845490402,3.9984989479735686,4.010442430620102,4.201553783544584,3.983271005989724,3.6102407825234,4.047765378397997,4.132137196167369,4.005644258855637,4.211519652759553,3.838761316025847,4.0880854931926285,4.106278585173668,4.266786548811374,3.8273630375926015,3.665293564571948,4.05689356897823,4.252700305961333,3.7711867175162483,3.735508689201456,4.205007186643245,3.7636900833875866,3.961947268561174,4.271899844393362,3.801852509939119,4.39449674500307,3.8568498896117736,4.104299817668732,4.248776892506798,3.7199459716764003,3.992602461975575,4.387083365950385,3.686229286969914,4.1344108777619715,3.798459935036261,3.8503077338041534,3.910473184667199,4.109489034255567,4.154104499026773,3.8676089776505767,3.5187481974385486,3.9373456652455707,3.9919710017786563,4.054543862160092,3.763193255789972,3.9180074494976913,4.182388070006822,4.27004170931701,3.991871261051977,4.173278937828656,4.20595590275327,3.594176298955952,4.240336294639812,4.099806686301072,3.4890883283615346,3.9307460497359945,3.5789221181044284"
NaCl_600mM_Worm2_Buffer_batch_0,4,43,4.15673,3.7459397683271063,4.7200680451053785,4.247331667142663,"4.428608038878851,4.385405197905887,4.420465448085262,4.7200680451053785,4.047995911932127,4.5116681890278425,4.37125084096962,4.049102430992844,4.3933997321020435,3.888974081433987,4.220417695329568,4.16181660090294,4.580938503068581,4.444050885362365,4.4585920112669815,3.9364713547873973,4.178080013951284,4.586048597563447,4.311789111201669,4.339483847172888,4.491761807508562,4.412787125429904,4.348581981263793,4.431812815624528,4.524794522697326,3.8867275077001775,4.518355441162816,4.135614571034934,4.2532891984688,3.786376386047633,4.542649412726408,4.299954369553589,4.534832174052051,3.994630772935984,4.143901720334658,4.293320283437732,4.056439999954468,4.1807624918826995,3.7459397683271063,3.871504568784314,3.8601302628743106,3.909161769861747,3.9773061984300364"
x2nonanone_10e-4_Worm1_Buffer_batch_0,6,84,5.98773,5.608050755903821,6.440685589024093,6.204837923491875,"5.928304640596705,6.321610031530857,5.7305307116869875,6.113469296863617,6.2188949139951415,6.351113012340003,6.201003925072842,6.20390700235076,6.1092826440512455,6.300844811721519,5.824692604853539,6.155375747604133,6.389307884141561,6.257096703114541,5.797542863236054,5.986169268651599,5.77427477914345,6.396853540996985,6.0918023822061595,6.155990953705504,6.39347089318693,5.972866299582,6.275782439574632,6.316919520420764,6.370161716159057,6.064639904738811,6.24419031456029,6.35383469741932,6.287096447982027,5.6906588102991025,6.33733928243729,5.973976152439465,5.913457861849802,6.245862668914107,6.357041713065331,6.103635788889308,6.362438748604337,6.396816870765133,6.289043997524659,6.26513788865731,6.271192777759122,6.220224320284181,6.066376454176633,6.381339266123009,6.378294259811033,6.1517872912020275,6.404670196751733,6.2963616316484226,6.224423805432552,6.166081290732647,6.313077260751652,6.285733883277665,6.357499515060839,6.374582295469428,6.436455446707675,6.087387558785899,5.887556382537557,6.348159928400459,6.163040859483759,6.355795569200022,6.356038671804255,6.093930299803462,6.073191288747668,6.305307982428557,6.342167613988549,6.179030510355496,6.421411471022867,6.39501504040916,6.1821302238260065,6.222742952995555,6.411030365721099,6.435852883354455,6.440685589024093,6.430155492325721,6.400447359476432,6.343145966297706,6.416742684468142,6.434961192876973,6.152745189023942,5.608050755903821,6.342519649518133,6.084015744859256,5.646289190892908,5.7962977256640515"
IAA_10e-4_Worm1_Buffer_batch_0,4,30,2.24301,1.7208626907793367,2.9042291321714258,2.19179699665493,"1.818650550554657,2.347799418039823,2.2039813779773003,2.3476836586579104,2.1493689122380353,2.591609308860955,2.0845480672411085,2.240326234962752,1.8319342811334964,1.7766763601908304,2.185233928760359,2.0256332069350593,1.8722423177532979,2.1514958839327596,2.0184106660147294,2.730526050189613,2.6370918924188866,2.0570436556429312,2.8302301177567326,1.9471551747289089,2.649685405070832,2.292031504530156,1.820015940273659,1.7208626907793367,1.730680959325555,1.95033949958332,2.1753045735306666,2.9042291321714258,1.9624535146537934,2.700665615739024"
Diacetyl_10e-5_Worm1_Buffer_batch_0,5,55,2.87821,2.629625455875814,3.404777159247856,2.98425022540407,"2.9954314762125427,3.132926136015003,3.073792458652741,3.277608083433138,2.9873390777300277,3.050630930756546,3.2261648154995233,3.0416824814411463,3.2452856964560044,3.05964069566465,2.980616527704819,3.1307926085053683,3.023969431486657,2.8418899842810976,2.8214013580650406,2.9578418699118143,3.055079894182456,2.629625455875814,2.933273586775016,2.899688203685953,3.255123814465645,2.8935289669040594,3.0827705121657023,2.9686326994048318,3.1781428698482848,3.404777159247856,2.8545417847854164,2.894059890772813,3.2554560075207415,2.709374762080026,2.7030348543853053,2.989300502741792,3.2618695383539467,2.9834918755614956,3.0630663768412942,2.7800548372191796,2.980455693883134,2.9076338634397167,2.9163931040362003,3.1053303609358753,3.0995574999094706,3.200853292843857,2.9646057920068674,2.9371218476321244,3.057702081344627,2.9866210095184575,2.8836318029994437,2.8093506398019565,2.8874922964359113,2.714851367718184,2.9167914953997665,2.727616530990587,2.95174441445847,2.6941880814778267,2.749913997757635"
Benzaldehyde_10e-6_Worm3_Buffer_batch_0,3,28,4.39925,3.7356948939048666,4.891096869819053,4.391922273817138,"4.109649943041624,4.028514527388898,4.774531098294075,4.467322313505483,4.778195237495952,3.946719693540806,4.619786299270251,4.304844478791071,4.472303475526743,3.9063728065993297,4.736902009956283,4.367048918710424,4.417730816649873,4.314946656601814,4.496270631943623,4.489013470319991,4.352797717063932,4.237370078666769,4.0901468177392095,4.4656310982482355,4.494377480075623,4.880043601590117,4.5673812421131785,3.7356948939048666,4.891096869819053,3.9487969222186043,4.833304779932502,4.247029787871537"
