Filename,BIC,Cell Counts
x2nonanone_10e-4_Worm1_Buffer_batch_1,9,130
x2nonanone_10e-4_Worm1_Buffer_batch_2,9,130
x2nonanone_10e-4_Worm1_Buffer_batch_3,8,130
IAA_10e-4_Worm1_Buffer_batch_0,7,130
IAA_10e-4_Worm1_Buffer_batch_1,7,130
IAA_10e-4_Worm1_Buffer_batch_2,7,130
IAA_10e-4_Worm1_Buffer_batch_3,8,130
Diacetyl_10e-5_Worm1_Buffer_batch_0,5,130
Diacetyl_10e-5_Worm1_Buffer_batch_1,6,130
Diacetyl_10e-5_Worm1_Buffer_batch_2,7,130
Diacetyl_10e-5_Worm1_Buffer_batch_3,5,130
Benzaldehyde_10e-6_Worm3_Buffer_batch_0,9,130
Benzaldehyde_10e-6_Worm3_Buffer_batch_1,6,130
Benzaldehyde_10e-6_Worm3_Buffer_batch_2,8,130
Benzaldehyde_10e-6_Worm3_Buffer_batch_3,9,130
